BookId,Added,Author,AuthorId,AvgRating,Binding,Borrowed,Category,Entry,Language,Pages,Published,Rating,Read,Scheduled,Series,SeriesId,Shelf,Started,Title,Work
621017,2016-11-08,James Fenimore Cooper,9121,3.55,Hardcover,False,novels,3,,566,1827,0,,2021-01-01,The Leatherstocking Tales,81550,ebooks,,The Prairie,337544
797189,2016-05-12,Terry Pratchett,1654,4.23,Paperback,True,novels,20,en,445,1996,0,,2020-01-01,Discworld,40650,elsewhere,,Hogfather,583655
802929,2016-05-12,Terry Pratchett,1654,4.08,Paperback,True,novels,18,en,381,1995,0,,2020-01-01,Discworld,40650,pending,,Maskerade,968513
816920,2016-11-24,Émile Zola,4750,3.83,Mass Market Paperback,False,novels,9,,518,1880,0,,,Les Rougon-Macquart,40441,ebooks,,Nana,89633
816921,2016-05-22,Émile Zola,4750,4.02,Mass Market Paperback,True,novels,7,fr,517,1876,0,,,Les Rougon-Macquart,40441,elsewhere,,L'Assommoir,741363
816926,2016-05-20,Émile Zola,4750,3.71,Mass Market Paperback,False,novels,,fr,317,1867,0,,,,,pending,,Thérèse Raquin,1656117
818108,2016-04-18,Haruki Murakami,3354,4.03,Paperback,False,novels,,en,389,1987,2,2018-05-17,,,,read,2018-04-27,Norwegian Wood,2956680
818109,2016-05-20,Haruki Murakami,3354,4.13,Paperback,False,novels,,en,505,2002,0,,,,,pending,,Kafka on the Shore,6191072
827620,2016-10-31,Iain Banks,7628,3.7,Paperback,False,novels,,en,239,1985,4,2017-04-21,,,,read,2017-04-17,Walking On Glass,813340
833420,2016-12-25,Terry Pratchett,1654,4.27,Paperback,True,novels,30,en,320,2003,0,,2021-01-01,Discworld,40650,elsewhere,,The Wee Free Men,62580
833422,2017-09-26,Terry Pratchett,1654,4.03,Mass Market Paperback,False,novels,3,en,283,1987,4,2018-04-27,,Discworld,40650,read,2018-04-22,Equal Rites,583611
833424,2016-05-12,Terry Pratchett,1654,4.28,Paperback,False,novels,11,en,287,1991,5,2019-09-17,,Discworld,40650,read,2019-09-08,Reaper Man,1796454
833426,2016-05-22,Terry Pratchett,1654,4.28,Paperback,False,novels,19,,416,1996,4,2019-10-30,,Discworld,40650,read,2019-10-22,Feet of Clay,3312754
833427,2016-01-18,Terry Pratchett,1654,4.22,Paperback,False,novels,12,en,288,1991,4,2018-07-24,,Discworld,40650,read,2018-07-01,Witches Abroad,929672
833436,2016-05-12,Terry Pratchett,1654,4.14,Paperback,True,novels,21,en,414,1997,0,,2020-01-01,Discworld,40650,elsewhere,,Jingo,1128623
833444,2017-05-24,Terry Pratchett,1654,4.23,Paperback,False,novels,4,,320,1987,5,2018-01-14,,Discworld,40650,read,2018-01-05,Mort,1857065
854442,2019-07-03,Émile Zola,4750,3.99,Mass Market Paperback,False,novels,11,,525,1883,0,,,Les Rougon-Macquart,40441,pending,,Au Bonheur des Dames,1540214
873150,2018-11-15,Kurt Vonnegut,2778055,3.96,,False,novels,,en,221,1965,0,,,,,pending,,"God Bless You, Mr. Rosewater",4076
881962,2018-05-05,Kurt Vonnegut,2778055,3.82,Mass Market Paperback,False,novels,,en,236,1979,0,,,,,pending,,Jailbird,1384043
886123,2016-04-18,Iain Banks,7628,3.17,Paperback,False,novels,,en,280,1997,0,,,,,pending,,A Song Of Stone,1418638
886124,2019-01-25,Iain Banks,7628,3.46,Paperback,True,novels,,en,393,1999,0,,,,,elsewhere,,The Business,1418704
886126,2016-04-18,Iain Banks,7628,3.67,Paperback,False,novels,,,390,2005,0,,,,,pending,,The Steep Approach to Garbadale,1280612
945456,2016-05-29,Kurt Vonnegut,2778055,4.03,Paperback,False,novels,,en,256,1987,4,2016-09-07,,,,read,2016-09-05,Bluebeard,6582745
956320,2016-07-11,Alexandre Dumas,4785,4.52,Mass Market Paperback,False,novels,2 of 2,fr,674,1844,4,2017-06-02,,Le Comte de Monte-Cristo,225265,read,2017-04-22,Le Comte de Monte-Cristo II,19052285
956321,2016-04-21,Alexandre Dumas,4785,4.07,Mass Market Paperback,False,novels,1,fr,896,1844,5,2016-05-30,,The d'Artagnan Romances,55138,read,2016-04-21,Les Trois Mousquetaires,1263212
956323,2016-07-11,Alexandre Dumas,4785,4.51,Mass Market Paperback,False,novels,1 of 2,fr,703,1844,5,2017-04-02,,Le Comte de Monte-Cristo,225265,read,2017-02-19,Le Comte de Monte-Cristo I,41399325
956325,2016-11-08,Alexandre Dumas,4785,4.03,Paperback,False,novels,2,fr,904,1845,3,2018-12-31,,The d'Artagnan Romances,55138,read,2018-10-04,Vingt ans après,666376
956343,2016-11-29,Alexandre Dumas,4785,4.14,Paperback,False,novels,1,,897,1850,0,,,Le vicomte de Bragelonne,261589,ebooks,,Le Vicomte de Bragelonne I,67441433
956690,2016-11-24,Émile Zola,4750,3.96,Mass Market Paperback,False,novels,14,fr,408,1886,0,,,Les Rougon-Macquart,40441,ebooks,,L'Œuvre,28958
956700,2016-11-24,Émile Zola,4750,4.13,Mass Market Paperback,False,novels,13,fr,608,1885,0,,,Les Rougon-Macquart,40441,ebooks,,Germinal,941651
956702,2016-11-24,Émile Zola,4750,3.77,Mass Market Paperback,False,novels,20,,471,1893,0,,,Les Rougon-Macquart,40441,ebooks,,Le Docteur Pascal,1356866
956703,2016-11-24,Émile Zola,4750,3.94,Paperback,False,novels,10,fr,510,1882,0,,,Les Rougon-Macquart,40441,ebooks,,Pot-Bouille,110658
1002666,2016-11-29,Alexandre Dumas,4785,4.1,Paperback,False,novels,2,fr,893,1849,0,,,Le vicomte de Bragelonne,261589,ebooks,,Le Vicomte de Bragelonne II,26588634
1002667,2016-11-29,Alexandre Dumas,4785,4.2,Paperback,False,novels,3,fr,906,1850,0,,,Le vicomte de Bragelonne,261589,ebooks,,Le Vicomte de Bragelonne III,26588974
1031449,2016-04-18,Gaston Leroux,9057,3.97,Mass Market Paperback,False,novels,,fr,498,1910,0,,2020-01-01,,,pending,,Le Fantôme de l'Opéra,2259720
1041744,2017-02-16,James Fenimore Cooper,9121,3.7,Paperback,False,novels,2,,433,1826,0,,2020-01-01,The Leatherstocking Tales,81550,pending,,The Last of the Mohicans,2064030
1291492,2016-10-31,Iain Banks,7628,3.87,,False,novels,,,249,1987,3,2018-04-19,,,,read,2018-04-14,Espedair Street,554751
1367032,2016-11-24,Émile Zola,4750,3.57,Paperback,False,novels,16,fr,286,1888,0,,,Les Rougon-Macquart,40441,ebooks,,Le Rêve,1504240
1367034,2016-06-19,Émile Zola,4750,3.81,Paperback,False,novels,1,fr,457,1870,4,2016-09-04,,Les Rougon-Macquart,40441,read,2016-08-10,La Fortune des Rougon,303087
