BookId,Author,AuthorId,Title,Work,Shelf,Category,Scheduled,Borrowed,Series,SeriesId,Entry,Binding,Published,Language,Pages,Added,Started,Read,Rating,AvgRating
601239,Terry Pratchett,1654,The Light Fantastic,592532,read,novels,,False,Discworld,40650,2,Mass Market Paperback,1986,en,285,2016-04-04,2016-04-04,2016-04-17,4,3.9700000000000001954
618207,Terry Pratchett,1654,Sourcery,62360,read,novels,,False,Discworld,40650,5,Paperback,1988,en,270,2016-05-13,2016-07-05,2016-07-17,3,3.8900000000000001243
618221,Terry Pratchett,1654,Moving Pictures,1229354,read,novels,,False,Discworld,40650,10,Paperback,1990,en,332,2016-05-12,2017-09-10,2017-12-23,5,3.9300000000000001599
621017,James Fenimore Cooper,9121,The Prairie,337544,ebooks,novels,2021-01-01,False,The Leatherstocking Tales,81550,3,Hardcover,1827,,566,2016-11-08,,,0,3.5499999999999998224
797189,Terry Pratchett,1654,Hogfather,583655,elsewhere,novels,2020-01-01,True,Discworld,40650,20,Paperback,1996,en,445,2016-05-12,,,0,4.2300000000000004263
802929,Terry Pratchett,1654,Maskerade,968513,pending,novels,2020-01-01,True,Discworld,40650,18,Paperback,1995,en,381,2016-05-12,,,0,4.0800000000000000711
816920,Émile Zola,4750,Nana,89633,ebooks,novels,,False,Les Rougon-Macquart,40441,9,Mass Market Paperback,1880,,518,2016-11-24,,,0,3.8300000000000000711
816921,Émile Zola,4750,L'Assommoir,741363,elsewhere,novels,,True,Les Rougon-Macquart,40441,7,Mass Market Paperback,1876,fr,517,2016-05-22,,,0,4.0199999999999995737
816926,Émile Zola,4750,Thérèse Raquin,1656117,pending,novels,,False,,,,Mass Market Paperback,1867,fr,317,2016-05-20,,,0,3.7099999999999999645
818108,Haruki Murakami,3354,Norwegian Wood,2956680,read,novels,,False,,,,Paperback,1987,en,389,2016-04-18,2018-04-27,2018-05-17,2,4.0300000000000002487
818109,Haruki Murakami,3354,Kafka on the Shore,6191072,pending,novels,,False,,,,Paperback,2002,en,505,2016-05-20,,,0,4.1299999999999998934
827620,Iain Banks,7628,Walking On Glass,813340,read,novels,,False,,,,Paperback,1985,en,239,2016-10-31,2017-04-17,2017-04-21,4,3.7000000000000001776
833420,Terry Pratchett,1654,The Wee Free Men,62580,elsewhere,novels,2021-01-01,True,Discworld,40650,30,Paperback,2003,en,320,2016-12-25,,,0,4.2699999999999995737
833422,Terry Pratchett,1654,Equal Rites,583611,read,novels,,False,Discworld,40650,3,Mass Market Paperback,1987,en,283,2017-09-26,2018-04-22,2018-04-27,4,4.0300000000000002487
